id,variant,ime_seta,tema,leto,tip_seta,figurice,st_kock,us_cena,eu_cena,us_ppp,eu_ppp,pakiranje,dostopnost,us_cas_izida,eu_cas_izida
76075,1,Wonder Woman Warrior Battle,DC Comics Super Heroes,2017,normal,2,286,29.99,34.99,10.5,12.2,Box,Retail - limited,May 17,May 17
76076,1,Captain America Jet Pursuit,Marvel Super Heroes,2017,normal,3,160,19.99,24.99,12.5,15.6,Box,Retail,Feb 17,Dec 16
76077,1,Iron Man: Detroit Steel Strikes,Marvel Super Heroes,2017,normal,3,377,29.99,34.99,8.0,9.3,Box,Retail,Feb 17,Dec 16
76078,1,Hulk vs. Red Hulk,Marvel Super Heroes,2017,normal,4,375,59.99,,16.0,16.0,Box,Retail,,
76079,1,Ravager Attack,Marvel Super Heroes,2017,normal,3,197,19.99,24.99,10.1,12.7,Box,Retail,Feb 17,Mar 17
76080,1,Ayesha's Revenge,Marvel Super Heroes,2017,normal,4,323,29.99,34.99,9.3,10.8,Box,Retail,Feb 17,Mar 17
76081,1,The Milano vs. The Abilisk,Marvel Super Heroes,2017,normal,5,460,49.99,49.99,10.9,10.9,Box,Retail,Feb 17,Mar 17
76082,1,ATM Heist Battle,Marvel Super Heroes,2017,normal,3,185,19.99,24.99,10.8,13.5,Box,Retail,Jun 17,Jun 17
76083,1,Beware the Vulture,Marvel Super Heroes,2017,normal,4,375,39.99,39.99,10.7,10.7,Box,Retail,Jun 17,Jun 17
76084,1,The Ultimate Battle for Asgard,Marvel Super Heroes,2017,normal,6,400,49.99,49.99,12.5,12.5,Box,Retail,Aug 17,Jun 17
76085,1,Battle of Atlantis,DC Comics Super Heroes,2017,normal,4,197,19.99,24.99,10.1,12.7,Box,Retail,Aug 17,Aug 17
76086,1,Knightcrawler Tunnel Attack,DC Comics Super Heroes,2017,normal,4,622,49.99,49.99,8.0,8.0,Box,Retail,Aug 17,Aug 17
76087,1,Flying Fox: Batmobile Airlift Attack,DC Comics Super Heroes,2017,normal,6,955,129.99,119.99,13.6,12.6,Box,Retail,Aug 17,Aug 17
